X,Y,id,name,address,phone,stars,img
12047374.9170133,1809191.58220309,1,Brown Bean Hotel,"380 Đ. 2 Tháng 9, Hoà Cường Bắc, Hải Châu, Đà Nẵng, Việt Nam","2363621188",4,https://imgur.com/a/4RnQa63
12047368.2771328,1809242.45540537,2,Fortune Hotel,"360 Đ. 2 Tháng 9, Hoà Cường Bắc, Hải Châu, Đà Nẵng, Việt Nam","905147852",2,https://imgur.com/a/4RnQa63
12047298.5095646,1809839.99583022,3,Minh Toàn Galaxy Hotel,"306 Đ. 2 Tháng 9, Hoà Cường Bắc, Hải Châu, Đà Nẵng 550000, Việt Nam","02363662288",4,https://res.cloudinary.com/ds0yzgajv/image/upload/v1743345016/QGIS%20GKY/s9goa1rjahwd9js0zj3f.jpg
12047282.1051539,1809967.71588508,4,Lamanga Hotel & Suites,"278 Đ. 2 Tháng 9, Hoà Cường Bắc, Hải Châu, Đà Nẵng 550000, Việt Nam","0935585278",4,https://res.cloudinary.com/ds0yzgajv/image/upload/v1743345119/QGIS%20GKY/uyobl0l7nm7ghi4h0ymw.jpg
12047253.3974352,1810257.52714105,5,Lavender Riverside hotel,"200 Đ. 2 Tháng 9, Hoà Cường Bắc, Hải Châu, Đà Nẵng 550000, Việt Nam","02363617617",4,https://res.cloudinary.com/ds0yzgajv/image/upload/v1743345204/QGIS%20GKY/fetbrrbikqsfzi9k12cu.jpg
12047397.4242554,1809012.7448327,6,Hotel & Apartment Sun City,"426 Đ. 2 Tháng 9, Hoà Cường Nam, Hải Châu, Đà Nẵng 50000, Việt Nam","0878333677",3,https://res.cloudinary.com/ds0yzgajv/image/upload/v1743345291/QGIS%20GKY/sikek2rcw0s10xw5qkpz.jpg
12047401.3300675,1808979.15484885,7,Lucky Star,"440 Đ. 2 Tháng 9, Hoà Cường Nam, Hải Châu, Đà Nẵng, Việt Nam","0899555234",3,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGB3oCTgTGr4Fwcz7TYthurYoJZb9NyRxcAsf9f_tuvefy-nCA2U-kD3GLjO2KAnMfb_JsKXAIyIWvkk8Y3Ca2o8phuLWIByf8NbZ2iaZJU25-fH_rg0A5SUj5FCxtrnp1HYkBWDK45iUFE-W7ywx0CfiPjD32wIR-6dyuxSH443LQVvJmH8hHJ=w426-h240-k-no
12047371.5482504,1808919.98179592,8,Win's Danang Homestay,"93 Lưu Quý Kỳ, Hoà Cường Nam, Hải Châu, Đà Nẵng 55000, Việt Nam","0905922381",5,https://lh5.googleusercontent.com/p/AF1QipNAqgmoAU7y2LIu3SDtDe-Fn8F4ueBVI2_nxO17=w227-h298-k-no
12047340.1064632,1808943.22137776,9,Kendy Home,"68/3 Lưu Quý Kỳ, Hoà Cường Nam, Hải Châu, Đà Nẵng 550000, Việt Nam","0935606006",3,https://lh5.googleusercontent.com/p/AF1QipP9WtsdHsX3j7AEZXYA9QN2xNU8mQHLe3WdmvCq=w224-h298-k-no
12047424.8625853,1808799.4874934,9,D-Life Hotel & Apartment Da Nang,"494 Đ. 2 Tháng 9, Hoà Cường Nam, Hải Châu, Đà Nẵng, Việt Nam","02363788788",4,https://lh5.googleusercontent.com/p/AF1QipMWhnwwSDMdr0TAdBcdvHxAMtfSNnQYYXpeJZ3P=w446-h298-k-no
